Date,Beans,Roast date,Age_days,Roast,Grind_Setting,Brew_Time,Grounds_mass_g,Water_mass_g,Water_Temperature_C,Half_and_Half_mL,Cup_Rating_0to10,,,,,,,,,,,,,,,,,
Sat Sep 29 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),23,medium,17,Sat Dec 30 1899 03:34:00 GMT-0800 (PST),18,288,99,20,7,,,,,,,,,,,,,,,,,
Sat Sep 29 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),23,medium,17,Sat Dec 30 1899 02:51:00 GMT-0800 (PST),18,275,99,20,5,,,,,,,,,,,,,,,,,
Tue Oct 02 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),26,medium,17,Sat Dec 30 1899 02:47:00 GMT-0800 (PST),20,288,99,20,7.75,,,,,,,,,,,,,,,,,
Wed Oct 03 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),27,medium,17,Sat Dec 30 1899 02:50:00 GMT-0800 (PST),22,288,99,20,5,,,,,,,,,,,,,,,,,
Thu Oct 04 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),28,medium,17,Sat Dec 30 1899 02:38:00 GMT-0800 (PST),20,288,99,20,7.5,,,,,,,,,,,,,,,,,
Fri Oct 05 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),29,medium,16,Sat Dec 30 1899 04:56:00 GMT-0800 (PST),20,289,99,20,4.5,,,,,,,,,,,,,,,,,
Sat Oct 06 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),30,medium,17,Sat Dec 30 1899 02:42:00 GMT-0800 (PST),20,288,97,20,6,,,,,,,,,,,,,,,,,
Sun Oct 07 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),31,medium,17,Sat Dec 30 1899 02:32:00 GMT-0800 (PST),20,300,99,20,8.5,,,,,,,,,,,,,,,,,
Sun Oct 07 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),31,medium,17,Sat Dec 30 1899 02:45:00 GMT-0800 (PST),20,309,99,20,7.5,,,,,,,,,,,,,,,,,
Mon Oct 08 2018 00:00:00 GMT-0700 (PDT),Philz Silken Splendor,Thu Sep 06 2018 00:00:00 GMT-0700 (PDT),32,medium,17,Sat Dec 30 1899 03:30:00 GMT-0800 (PST),20,303,99,20,6.5,,,,,,,,,,,,,,,,,
